date,time,global_active_power,temperature,time_of_day,occupancy,occupancy_confidence,ac_on,ac_eco,lamp_on,tv_on
01/01/2024,00:00:00,0.13,25,1.0,1,0.83,0,0,1,1
01/01/2024,00:10:00,0.07,24,1.0,1,0.86,0,0,1,0
01/01/2024,00:20:00,0.172,25,1.0,1,0.88,0,0,1,1
01/01/2024,00:30:00,0.83,26,1.0,1,0.97,1,0,1,1
01/01/2024,00:40:00,0.024,24,1.0,1,0.82,0,0,1,0
01/01/2024,00:50:00,0.154,24,1.0,1,0.87,0,0,1,1
01/01/2024,01:00:00,0.13,27,1.0,0,0.62,0,0,0,1
01/01/2024,01:10:00,0.01,25,1.0,0,0.53,0,0,0,0
01/01/2024,01:20:00,0.157,24,1.0,1,0.58,0,0,1,1
01/01/2024,01:30:00,0.844,25,1.0,1,0.54,1,0,0,1
01/01/2024,01:40:00,0.068,24,1.0,1,0.57,0,0,1,0
01/01/2024,01:50:00,0.144,24,1.0,0,0.53,0,0,0,1
01/01/2024,02:00:00,0.145,25,1.0,1,0.6,0,0,1,1
01/01/2024,02:10:00,0.144,22,1.0,0,0.44,0,0,0,1
01/01/2024,02:20:00,0.863,22,1.0,1,0.52,1,0,1,1
01/01/2024,02:30:00,0.079,24,1.0,1,0.57,0,0,1,0
01/01/2024,02:40:00,0.054,23,1.0,1,0.59,0,0,1,0
01/01/2024,02:50:00,0.188,26,1.0,1,0.65,0,0,1,1
01/01/2024,03:00:00,0.018,24,1.0,0,0.52,0,0,0,0
01/01/2024,03:10:00,0.016,23,1.0,0,0.65,0,0,0,0
01/01/2024,03:20:00,0.864,28,1.0,1,0.5,1,0,1,1
01/01/2024,03:30:00,0.188,25,1.0,1,0.64,0,0,1,1
01/01/2024,03:40:00,0.724,26,1.0,0,0.61,1,0,0,0
01/01/2024,03:50:00,0.01,24,1.0,0,0.49,0,0,0,0
01/01/2024,04:00:00,0.163,25,1.0,1,0.57,0,0,1,1
01/01/2024,04:10:00,0.159,26,1.0,1,0.55,0,0,1,1
01/01/2024,04:20:00,0.882,25,1.0,1,0.59,1,0,1,1
01/01/2024,04:30:00,0.134,27,1.0,1,0.53,0,0,0,1
01/01/2024,04:40:00,0.054,26,1.0,1,0.53,0,0,1,0
01/01/2024,04:50:00,0.165,26,1.0,1,0.65,0,0,1,1
01/01/2024,05:00:00,0.192,26,1.0,1,0.54,0,0,1,1
01/01/2024,05:10:00,0.148,30,1.0,1,0.61,0,0,1,1
01/01/2024,05:20:00,0.142,27,1.0,1,0.53,0,0,0,1
01/01/2024,05:30:00,0.145,26,1.0,0,0.67,0,0,0,1
01/01/2024,05:40:00,0.01,29,1.0,0,0.5,0,0,0,0
01/01/2024,05:50:00,0.848,26,1.0,1,0.51,1,0,1,1
01/01/2024,06:00:00,0.016,28,0.0,0,0.66,0,0,0,0
01/01/2024,06:10:00,0.028,25,0.0,0,0.52,0,0,0,0
01/01/2024,06:20:00,0.037,26,0.0,1,0.66,0,0,0,0
01/01/2024,06:30:00,0.64,29,0.0,1,0.61,1,1,0,1
01/01/2024,06:40:00,0.01,30,0.0,0,0.54,0,0,0,0
01/01/2024,06:50:00,0.02,29,0.0,0,0.42,0,0,0,0
01/01/2024,07:00:00,0.718,29,0.0,0,0.9,1,0,0,0
01/01/2024,07:10:00,0.015,29,0.0,0,0.91,0,0,0,0
01/01/2024,07:20:00,0.697,27,0.0,0,0.98,1,0,0,0
01/01/2024,07:30:00,0.019,28,0.0,0,1.0,0,0,0,0
01/01/2024,07:40:00,0.017,29,0.0,1,0.85,0,0,0,0
01/01/2024,07:50:00,0.946,31,0.0,1,0.96,1,0,0,0
01/01/2024,08:00:00,0.511,31,0.0,1,0.95,1,1,0,0
01/01/2024,08:10:00,0.035,28,0.0,0,0.98,0,0,0,0
01/01/2024,08:20:00,0.031,31,0.0,0,0.93,0,0,0,0
01/01/2024,08:30:00,0.711,30,0.0,0,0.76,1,0,0,0
01/01/2024,08:40:00,0.729,30,0.0,1,0.89,1,0,0,0
01/01/2024,08:50:00,0.498,32,0.0,0,0.82,1,1,0,0
01/01/2024,09:00:00,0.907,32,0.0,1,0.89,1,0,0,0
01/01/2024,09:10:00,0.01,32,0.0,0,0.97,0,0,0,0
01/01/2024,09:20:00,0.708,30,0.0,0,0.92,1,0,0,0
01/01/2024,09:30:00,0.48,31,0.0,0,0.98,1,1,0,0
01/01/2024,09:40:00,0.037,32,0.0,0,0.92,0,0,0,0
01/01/2024,09:50:00,0.905,33,0.0,0,0.81,1,0,0,0
01/01/2024,10:00:00,0.022,31,0.0,0,0.72,0,0,0,0
01/01/2024,10:10:00,0.014,31,0.0,0,0.91,0,0,0,0
01/01/2024,10:20:00,0.01,30,0.0,0,0.89,0,0,0,0
01/01/2024,10:30:00,0.01,30,0.0,0,0.83,0,0,0,0
01/01/2024,10:40:00,0.01,33,0.0,0,0.78,0,0,0,0
01/01/2024,10:50:00,0.906,34,0.0,0,0.85,1,0,0,0
01/01/2024,11:00:00,0.01,32,0.0,0,0.89,0,0,0,0
01/01/2024,11:10:00,0.01,33,0.0,0,0.95,0,0,0,0
01/01/2024,11:20:00,0.9,32,0.0,1,0.91,1,0,0,0
01/01/2024,11:30:00,0.017,31,0.0,0,1.0,0,0,0,0
01/01/2024,11:40:00,0.523,33,0.0,0,0.83,1,1,0,0
01/01/2024,11:50:00,0.893,34,0.0,0,0.96,1,0,0,0
01/01/2024,12:00:00,0.897,32,0.0,0,0.9,1,0,0,0
01/01/2024,12:10:00,0.013,34,0.0,0,0.95,0,0,0,0
01/01/2024,12:20:00,0.508,28,0.0,1,0.87,1,1,0,0
01/01/2024,12:30:00,0.01,33,0.0,0,0.98,0,0,0,0
01/01/2024,12:40:00,0.924,32,0.0,0,0.92,1,0,0,0
01/01/2024,12:50:00,0.513,31,0.0,0,0.85,1,1,0,0
01/01/2024,13:00:00,0.886,32,0.0,1,0.9,1,0,0,0
01/01/2024,13:10:00,0.01,29,0.0,0,0.88,0,0,0,0
01/01/2024,13:20:00,0.485,31,0.0,0,0.93,1,1,0,0
01/01/2024,13:30:00,0.507,32,0.0,0,0.82,1,1,0,0
01/01/2024,13:40:00,0.01,34,0.0,0,0.9,0,0,0,0
01/01/2024,13:50:00,0.484,31,0.0,0,0.93,1,1,0,0
01/01/2024,14:00:00,0.01,30,0.0,0,0.9,0,0,0,0
01/01/2024,14:10:00,0.04,31,0.0,0,0.99,0,0,0,0
01/01/2024,14:20:00,0.61,33,0.0,1,0.95,1,1,0,1
01/01/2024,14:30:00,0.01,32,0.0,0,0.9,0,0,0,0
